ANP,replicate,passage,percentK
X1,1,0,15.78
X1,1,1,3.06
X1,1,2,1.54
X1,1,3,1.12
X1,1,4,1.16
X1,1,5,1.24
X1,2,0,16.54
X1,2,1,3.87
X1,2,2,3.20
X1,2,3,1.78
X1,2,4,0.93
X1,2,5,0.71
X1,3,0,16.85
X1,3,1,2.52
X1,3,2,1.79
X1,3,3,1.14
X1,3,4,1.59
X1,3,5,1.00
X2,1,0,15.78
X2,1,1,38.43
X2,1,2,71.76
X2,1,3,85.11
X2,1,4,91.00
X2,1,5,96.31
X2,2,0,16.54
X2,2,1,20.03
X2,2,2,31.40
X2,2,3,48.96
X2,2,4,67.71
X2,2,5,86.39
X2,3,0,16.85
X2,3,1,29.11
X2,3,2,64.66
X2,3,3,80.65
X2,3,4,78.66
X2,3,5,82.49
X3,1,0,15.78
X3,1,1,95.50
X3,1,2,99.46
X3,1,3,100.00
X3,1,4,100.00
X3,1,5,100.00
X3,2,0,16.54
X3,2,1,93.35
X3,2,2,98.67
X3,2,3,99.44
X3,2,4,100.00
X3,2,5,100.00
X3,3,0,16.85
X3,3,1,91.40
X3,3,2,96.42
X3,3,3,100.00
X3,3,4,100.00
X3,3,5,100.00