line,experiment,replicate,passage,percentPB2.627K
7,1,1,0,14.3906953
7,1,1,1,53.45186776
7,1,1,2,88.02152088
7,1,1,3,96.95719507
7,2,1,0,21.24381894
7,2,1,1,77.11454097
7,2,1,2,95.40319771
7,2,1,3,97.5
7,3,3,0,21.62789949
7,3,3,1,79.28061219
7,3,3,2,94.51897906
7,3,3,3,98.466085
7,3,3,4,99.31659486
7,3,4,0,21.94983971
7,3,4,1,97.56318598
7,3,4,2,99.4175063
7,3,4,3,99.22346851
9,1,1,0,14.3907
9,1,1,1,5.448466
9,1,1,2,2.268774
9,1,1,3,2.505795
9,2,1,0,21.24381894
9,2,1,1,31.07588857
9,2,1,2,27.6032076
9,2,1,3,20.45454545
9,3,4,0,21.94983971
9,3,4,1,2.660229102
9,3,4,2,1.686615887
9,3,4,3,1.153735218